"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"50","X_Ero_Z","~~","X_Ero","",0.111742390202654,0.0386537153488292,2.89085768843276,0.00384192052094612,0.035982500250286,0.187502280155023
"51","F_Ero_Z","~~","F_Ero","",0.0243555532754456,0.0420062794764374,0.579807437816705,0.562044481260452,-0.0579752416228958,0.106686348173787
"52","Inactive","~~","Education","",0.0452822268508896,0.112281151174503,0.403293218649975,0.686732529868015,-0.174784785593833,0.265349239295612
"53","Inactive","~~","Gym","",0.138317242398478,0.0808963302612981,1.70980861494839,0.0873012694316244,-0.0202366513951239,0.29687113619208
"54","Inactive","~~","Work","",-0.830654120240929,0.0268803093925315,-30.9019553350722,0,-0.883338558543585,-0.777969681938274
"55","Inactive","~~","Social","",-0.571203459167842,0.0788902686582308,-7.24048059263704,4.47197834319013e-13,-0.725825544468664,-0.416581373867021
"56","Education","~~","Gym","",-0.17857876953694,0.079200730574318,-2.25476164477259,0.0241482939747841,-0.333809349011864,-0.0233481900620168
"57","Education","~~","Work","",-0.340385599684764,0.0678391694018979,-5.01753784260279,5.23378945960218e-07,-0.473347928453596,-0.207423270915933
"58","Education","~~","Social","",0.288683307998376,0.0857572471379866,3.36628468884821,0.000761880339138266,0.120602192194622,0.456764423802131
"59","Work","~~","Gym","",-0.48896069724429,0.043545134507228,-11.2288250519269,0,-0.574307592580409,-0.40361380190817
"60","Gym","~~","Social","",-0.270115199638006,0.0728323456227808,-3.70872580483689,0.000208304849512286,-0.41286397396823,-0.127366425307782
"61","Work","~~","Social","",0.26756785197257,0.0641943914742184,4.16808767600873,3.07165790971453e-05,0.141749156673637,0.393386547271503
"62","AtrZ","~~","Inactive","",-0.043592949680768,0.0523018670578697,-0.833487447638043,0.404569874201847,-0.146102725438394,0.0589168260768584
"63","AtrZ","~~","Education","",-0.0529553269992846,0.0729621579118234,-0.725791677697944,0.467966489569968,-0.195958528740783,0.0900478747422133
"64","AtrZ","~~","Gym","",0.153330901277474,0.0510120976245046,3.00577526543074,0.00264904704778113,0.0533490271576039,0.253312775397344
"65","AtrZ","~~","Work","",-0.0811496423528068,0.0483326039905817,-1.6789834532528,0.0931552686259833,-0.175879805453384,0.0135805207477702
"66","AtrZ","~~","Social","",0.0526692190366345,0.0648321039497176,0.812394104585648,0.416565527975148,-0.0743993697467689,0.179737807820038
"67","RomZ","~~","Inactive","",0.0417522296838678,0.049648001565046,0.84096496067755,0.400367564313457,-0.0555560652880105,0.139060524655746
"68","RomZ","~~","Education","",0.149419484227126,0.0705620854312827,2.11756049036617,0.0342123072482148,0.0111203381077739,0.287718630346479
"69","RomZ","~~","Gym","",0.112611492715597,0.0521856036451315,2.15790342258699,0.0309353413497593,0.0103295890596573,0.214893396371537
"70","RomZ","~~","Work","",-0.142167686737985,0.043765863295723,-3.24836930046066,0.00116068518404067,-0.227947202549905,-0.0563881709260641
"71","RomZ","~~","Social","",-0.0479603242761037,0.0647023076136801,-0.74124596239228,0.458544319673733,-0.174774516915548,0.0788538683633411
"72","EroZ","~~","Inactive","",-0.0753644869914053,0.0487041652852479,-1.54739305252466,0.121768495503862,-0.170822896847577,0.0200939228647665
"73","EroZ","~~","Education","",0.0382836394925434,0.0691003242640104,0.554029809560281,0.579558444987013,-0.0971505073849562,0.173717786370043
"74","EroZ","~~","Gym","",0.0515444906506447,0.0525251891222868,0.981328987329129,0.326430532489953,-0.0514029883101924,0.154491969611482
"75","EroZ","~~","Work","",-0.0316460463462274,0.0425796067264622,-0.743220728869724,0.457348055446637,-0.115100542005973,0.0518084493135179
"76","EroZ","~~","Social","",0.103431707590957,0.063739477824339,1.62272599527731,0.104647991809799,-0.0214953733381371,0.22835878852005
"77","AtrZ","~~","RomZ","",0.220548739207667,0.0466810562804872,4.72458759035958,2.30582816040936e-06,0.129055550137625,0.312041928277709
"78","AtrZ","~~","EroZ","",0.128193051195778,0.0474813637365364,2.69986034746375,0.00693685877483641,0.0351312883353206,0.221254814056236
"79","RomZ","~~","EroZ","",0.18628679953429,0.0464554054203806,4.01001342790054,6.07152949283485e-05,0.095235878023137,0.277337721045443
"80","M_Atr_Z","|","t1","",-0.114603854886128,0,NA,NA,-0.114603854886128,-0.114603854886128
"81","X_Atr_Z","|","t1","",0.718210122886332,0,NA,NA,0.718210122886332,0.718210122886332
"82","F_Atr_Z","|","t1","",-0.121513059290583,0,NA,NA,-0.121513059290583,-0.121513059290583
"83","M_Rom_Z","|","t1","",0.121513059290583,0,NA,NA,0.121513059290583,0.121513059290583
"84","X_Rom_Z","|","t1","",0.926830399784933,0,NA,NA,0.926830399784933,0.926830399784933
"85","F_Rom_Z","|","t1","",0.539682430751915,0,NA,NA,0.539682430751915,0.539682430751915
"86","M_Ero_Z","|","t1","",0.156153017746606,0,NA,NA,0.156153017746606,0.156153017746606
"87","X_Ero_Z","|","t1","",0.424045203886587,0,NA,NA,0.424045203886587,0.424045203886587
"88","F_Ero_Z","|","t1","",-0.0594988963264345,0,NA,NA,-0.0594988963264345,-0.0594988963264345
"89","M_Atr","|","t1","",-0.114603854886128,0,NA,NA,-0.114603854886128,-0.114603854886128
"90","X_Atr","|","t1","",0.715253275329904,0,NA,NA,0.715253275329904,0.715253275329904
"91","F_Atr","|","t1","",-0.121513059290583,0,NA,NA,-0.121513059290583,-0.121513059290583
"92","M_Rom","|","t1","",0.121513059290583,0,NA,NA,0.121513059290583,0.121513059290583
"93","X_Rom","|","t1","",0.923322019703909,0,NA,NA,0.923322019703909,0.923322019703909
"94","F_Rom","|","t1","",0.539682430751915,0,NA,NA,0.539682430751915,0.539682430751915
"95","M_Ero","|","t1","",0.156153017746606,0,NA,NA,0.156153017746606,0.156153017746606
"96","X_Ero","|","t1","",0.424045203886587,0,NA,NA,0.424045203886587,0.424045203886587
"97","F_Ero","|","t1","",-0.0594988963264345,0,NA,NA,-0.0594988963264345,-0.0594988963264345
"98","Inactive","|","t1","",0.686019629928306,0,NA,NA,0.686019629928306,0.686019629928306
"99","Education","|","t1","",1.46714811975414,0,NA,NA,1.46714811975414,1.46714811975414
"100","Work","|","t1","",0.304234942999139,0,NA,NA,0.304234942999139,0.304234942999139
"101","Gym","|","t1","",0.674489750196082,0,NA,NA,0.674489750196082,0.674489750196082
"102","Social","|","t1","",1.32761124018722,0,NA,NA,1.32761124018722,1.32761124018722
"103","M_Atr_Z","~~","M_Atr_Z","",0.171652628214879,0,NA,NA,0.171652628214879,0.171652628214879
"104","X_Atr_Z","~~","X_Atr_Z","",0.782387962990199,0,NA,NA,0.782387962990199,0.782387962990199
"105","F_Atr_Z","~~","F_Atr_Z","",0.359010970448002,0,NA,NA,0.359010970448002,0.359010970448002
"106","M_Rom_Z","~~","M_Rom_Z","",0.261822554058367,0,NA,NA,0.261822554058367,0.261822554058367
"107","X_Rom_Z","~~","X_Rom_Z","",0.260968186487319,0,NA,NA,0.260968186487319,0.260968186487319
"108","F_Rom_Z","~~","F_Rom_Z","",0.183267828788555,0,NA,NA,0.183267828788555,0.183267828788555
"109","M_Ero_Z","~~","M_Ero_Z","",0.324453826521067,0,NA,NA,0.324453826521067,0.324453826521067
"110","X_Ero_Z","~~","X_Ero_Z","",0.277187534447405,0,NA,NA,0.277187534447405,0.277187534447405
"111","F_Ero_Z","~~","F_Ero_Z","",0.479344338607948,0,NA,NA,0.479344338607948,0.479344338607948
"112","M_Atr","~~","M_Atr","",0.163156012173561,0,NA,NA,0.163156012173561,0.163156012173561
"113","X_Atr","~~","X_Atr","",0.780155848798231,0,NA,NA,0.780155848798231,0.780155848798231
"114","F_Atr","~~","F_Atr","",0.352436147063142,0,NA,NA,0.352436147063142,0.352436147063142
"115","M_Rom","~~","M_Rom","",0.262037046566997,0,NA,NA,0.262037046566997,0.262037046566997
"116","X_Rom","~~","X_Rom","",0.261182927249868,0,NA,NA,0.261182927249868,0.261182927249868
