"","type","cov.M_Atr_Z","cov.X_Atr_Z","cov.F_Atr_Z","cov.M_Rom_Z","cov.X_Rom_Z","cov.F_Rom_Z","cov.M_Ero_Z","cov.X_Ero_Z","cov.F_Ero_Z","cov.M_Atr","cov.X_Atr","cov.F_Atr","cov.M_Rom","cov.X_Rom","cov.F_Rom","cov.M_Ero","cov.X_Ero","cov.F_Ero","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social","mean","th"
"X_Atr","raw",0.0400968154567671,1.82256618963539e-07,0.0307359856517753,0.0210169254487423,0.0673826454440215,0.0157368558985675,0.015939813798846,0.00782836642491428,-0.112078672581264,-0.0172830378343435,0,0.0252699548124112,0.0176085598190507,0.00699623329850128,-0.0411985290368185,-0.0862072501940782,-0.111378013974328,-0.0831442932850838,0.0046311147481008,0.0224003227113338,0.0376943923605251,-0.156234158400463,0.150522479583527,0,0
"F_Atr","raw",-0.0365993156733739,0.0285606439629687,-1.04615498458527e-07,0.0325221510753331,0.0415339458737414,0.0162867854234956,0.0618290450815052,-0.0333385146769946,0.0302989753279892,-0.00106238723619168,0.0252699548124112,0,-0.0167174190516693,-0.0258189109103792,-0.0753833452632928,-0.0153407180142374,0.00208901327896314,0.109247744618232,-0.0450366177574759,0.0687378880637045,0.0443152094693107,0.0371909264196811,-0.158343995434105,0,0
"M_Rom","raw",-0.00360568238815621,0.0124342787073403,-0.0258721388056955,-2.47315789458913e-07,0.0102744813104529,0.0213800380527943,0.066613847219408,-0.0528013255026498,0.0741979411910749,0.1032310313399,0.0176085598190507,-0.0167174190516693,0,0.000160355181981431,-0.0151998960438195,0.0245232374403445,-0.0463827769602407,0.0615861136640794,0.0127794942072472,0.0338995970731402,-0.0152720571539269,-0.0123869510179829,-0.0060960075774143,0,0
"X_Rom","raw",-0.023744432885932,-0.022326836286328,0.0366147898028032,-0.0834202384887428,-1.76335169257968e-06,-0.0453800944216969,0.0466591242465566,-0.00427276421054049,0.0781966001695711,-0.0397498718857648,0.00699623329850127,-0.0258189109103791,0.000160355181981431,0,0.0171333269307342,-0.0411268269867476,-0.0227925412590107,-0.0355252361418784,-0.056786054496152,0.0537522147478618,0.0358319423120007,-0.0423741941310911,-0.0252604454694012,0,0
"F_Rom","raw",-0.00986789461023157,-0.0135125686726869,0.0275919070046655,0.00123997847837151,0.0151918275669393,-3.31340445913764e-07,0.0387839221651494,-0.0192461555695854,0.125144646200413,0.0175685632077169,-0.0411985290368185,-0.0753833452632928,-0.0151998960438197,0.0171333269307341,0,-0.0110530127031424,-0.00795700638268421,0.0565083189022242,0.0214524635551325,-0.0293630850298422,0.00848496443745089,0.0178930722464324,-0.110277900505593,0,0
"M_Ero","raw",0.0344928981308875,-0.0303717616359391,-0.0104160788424758,0.00405787943217691,0.0878381352889626,0.0326980994633713,-8.08534291324436e-08,0.0931554833536559,-0.0458815184656366,0.0517244833110466,-0.0862072501940782,-0.0153407180142374,0.0245232374403445,-0.0411268269867476,-0.0110530127031424,0,0.0321957457257781,-0.0481987577857077,0.000311713145063341,0.0911691895247421,-0.0231311843418621,-0.0142615773948772,0.0426971232038719,0,0
"X_Ero","raw",0.045317123363069,-0.0449349453029051,0.00483666552921014,-0.0715816032345371,0.00970465830981333,0.00160048585246668,0.0173938031722699,-3.2646374703571e-07,-0.0193101604878567,-0.0213704664425731,-0.111378013974328,0.00208901327896317,-0.0463827769602407,-0.0227925412590107,-0.00795700638268423,0.0321957457257781,0,-0.0101514040616154,-0.0656541908329618,0.0153032063762383,0.044708916599191,-0.00602312347101654,0.042285919009396,0,0
"F_Ero","raw",-0.0174422578361802,-0.0750690923194723,-9.63481974547466e-05,-0.0395152473565299,-0.0174703000498032,0.00721076177896365,-0.0766772614178235,0.0168095514119839,-1.78457909338903e-07,0.00581035704087972,-0.0831442932850838,0.109247744618232,0.0615861136640794,-0.0355252361418784,0.0565083189022242,-0.0481987577857076,-0.0101514040616153,0,0.0678965293548006,-0.0994450800851749,-0.0216773523560524,0.0221719367704969,-0.0816028477136639,0,0
"Inactive","raw",0.00572151141756464,-0.0794434666207896,0.0177541791601113,-0.0541021063867093,0.0536922509316087,0.058189732610489,-0.0562284087755323,0.0108923288058773,0.0906470172066925,0.040553276459252,0.0046311147481008,-0.0450366177574759,0.0127794942072472,-0.056786054496152,0.0214524635551325,0.000311713145063341,-0.0656541908329618,0.0678965293548006,0,-0.0744473933940796,0.00135045369615316,-0.0513212753705872,-0.00977611377470466,0,0
"Education","raw",-0.0269205392842039,0.0368677979329892,0.0124842584401589,0.0241308638568284,-0.0236568373589137,-0.0170049809627109,0.123419769766287,-0.0122575873462256,-0.0383170592737087,-0.0999703029584035,0.0224003227113338,0.0687378880637045,0.0338995970731402,0.0537522147478618,-0.0293630850298422,0.0911691895247421,0.0153032063762383,-0.0994450800851749,-0.0744473933940796,0,0.00906958140968561,-0.00896434921431846,-0.0272623609247041,0,0
