"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X_Ero_B",45,1096,0.336678832116788,0.472789749238815,0,0.296127562642369,0,0,1,1,0.690252495879149,-1.52494036416835,0.0142811366507601
"F_Ero_B",46,1096,0.523722627737226,0.499664921218861,1,0.529612756264237,0,0,1,1,-0.0948675081935883,-1.99281592188193,0.0150929309085198
"M_Rel_B",47,1096,0.5,0.500228258400386,0.5,0.5,0.7413,0,1,1,0,-2.0018239850285,0.0151099471303875
"X_Rel_B",48,1096,0.114051094890511,0.318018426763855,0,0.0182232346241458,0,0,1,1,2.42499634924752,3.88415372645524,0.00960609788470747
"F_Rel_B",49,1096,0.0766423357664234,0.266144541007944,0,0,0,0,1,1,3.17850884628787,8.11032091047794,0.00803918986210591
"M_Int_B",50,1096,0.0328467153284672,0.178316629392685,0,0,0,0,1,1,5.23481238415435,25.4264625211232,0.00538625077121451
"X_Int_B",51,1096,0.00273722627737226,0.0522707066847414,0,0,0,0,1,1,19.0090816949801,359.673358505863,0.00157889443711168
"F_Int_B",52,1096,0.00364963503649635,0.0603293961215953,0,0,0,0,1,1,16.439663660595,268.507532394646,0.00182231605371618
"M_Act_B",53,1096,0,0,0,0,0,0,0,0,NA,NA,0
"X_Act_B",54,1096,0,0,0,0,0,0,0,0,NA,NA,0
"F_Act_B",55,1096,0,0,0,0,0,0,0,0,NA,NA,0
"M_B",56,1096,1.43430656934307,0.961006926736401,1,1.41799544419134,1.4826,0,3,3,-0.0260997423231955,-0.977501304643491,0.0290282758142397
"X_B",57,1096,0.750912408759124,0.757910542540664,1,0.669703872437358,1.4826,0,3,3,0.662179390790355,-0.297245324420198,0.0228935251758338
"F_B",58,1096,1.36587591240876,0.914761619832122,1,1.33257403189066,1.4826,0,3,3,0.0233406875941205,-0.869854113701033,0.0276313852335543
"Inactive_B",59,1096,0.24543795620438,0.430543025264227,0,0.182232346241458,0,0,1,1,1.18143722802634,-0.604755363614675,0.0130050276845666
"Education_B",60,1096,0.0711678832116788,0.25722244004292,0,0,0,0,1,1,3.33128669907089,9.10578176315564,0.00776968794651125
"Gym_B",61,1096,0.25,0.433210379465581,0,0.187927107061503,0,0,1,1,1.15312056058465,-0.670922631733178,0.0130855980647553
"Work_B",62,1096,0.380474452554745,0.48572513534847,0,0.350797266514806,0,0,1,1,0.491703980701577,-1.75983038330887,0.01467186427749
"Social_B",63,1096,0.0921532846715328,0.289374255225607,0,0,0,0,1,1,2.81624633190219,5.93666256158335,0.00874086904113772
"Other_B",64,1096,0.0346715328467153,0.183030006651914,0,0,0,0,1,1,5.08008392599948,23.8289969774713,0.00552862353803954
"M_Atr_C",65,1096,0.54470802919708,0.498224524920519,1,0.555808656036446,0,0,1,1,-0.179305654239977,-1.96964410618275,0.0150494221471708
"X_Atr_C",66,1096,0.237226277372263,0.425576340755865,0,0.171981776765376,0,0,1,1,1.23378083055678,-0.478218696368297,0.0128550034924615
"F_Atr_C",67,1096,0.546532846715328,0.498057252964567,1,0.558086560364465,0,0,1,1,-0.186686929912878,-1.96694014690876,0.0150443695129616
"M_Rom_C",68,1096,0.449817518248175,0.497702450493342,0,0.437357630979499,0,0,1,1,0.201472565651314,-1.96119572073417,0.0150336523123798
"X_Rom_C",69,1096,0.176094890510949,0.381074767207407,0,0.0956719817767654,0,0,1,1,1.69840463592751,0.885388640400438,0.0115107843040324
"F_Rom_C",70,1096,0.293795620437956,0.455707398531878,0,0.242596810933941,0,0,1,1,0.904160158661765,-1.18357181206745,0.0137651453773564
"M_Ero_C",71,1096,0.437956204379562,0.496362128353638,0,0.42255125284738,0,0,1,1,0.249765978413652,-1.93938397023916,0.0149931664015411
"X_Ero_C",72,1096,0.336678832116788,0.472789749238815,0,0.296127562642369,0,0,1,1,0.690252495879149,-1.52494036416835,0.0142811366507601
"F_Ero_C",73,1096,0.523722627737226,0.499664921218861,1,0.529612756264237,0,0,1,1,-0.0948675081935883,-1.99281592188193,0.0150929309085198
"M_Rel_C",74,1096,0.5,0.500228258400386,0.5,0.5,0.7413,0,1,1,0,-2.0018239850285,0.0151099471303875
"X_Rel_C",75,1096,0.114051094890511,0.318018426763855,0,0.0182232346241458,0,0,1,1,2.42499634924752,3.88415372645524,0.00960609788470747
"F_Rel_C",76,1096,0.0766423357664234,0.266144541007944,0,0,0,0,1,1,3.17850884628787,8.11032091047794,0.00803918986210591
"M_Int_C",77,1096,0.0328467153284672,0.178316629392685,0,0,0,0,1,1,5.23481238415435,25.4264625211232,0.00538625077121451
"X_Int_C",78,1096,0.00273722627737226,0.0522707066847414,0,0,0,0,1,1,19.0090816949801,359.673358505863,0.00157889443711168
"F_Int_C",79,1096,0.00364963503649635,0.0603293961215953,0,0,0,0,1,1,16.439663660595,268.507532394646,0.00182231605371618
"M_Act_C",80,1096,0,0,0,0,0,0,0,0,NA,NA,0
"X_Act_C",81,1096,0,0,0,0,0,0,0,0,NA,NA,0
"F_Act_C",82,1096,0,0,0,0,0,0,0,0,NA,NA,0
"M_C",83,1096,1.43248175182482,0.96183028037756,1,1.41571753986333,1.4826,0,3,3,-0.0235575415003639,-0.980215264515806,0.0290531461205021
"X_C",84,1096,0.75,0.758212268925305,1,0.668564920273349,1.4826,0,3,3,0.664077328458811,-0.297489956254255,0.0229026391545889
"F_C",85,1096,1.36405109489051,0.915490044255655,1,1.33029612756264,1.4826,0,3,3,0.0259260225457591,-0.872131850490836,0.0276533880979331
"Inactive_C",86,1096,0.24543795620438,0.430543025264227,0,0.182232346241458,0,0,1,1,1.18143722802634,-0.604755363614675,0.0130050276845666
"Education_C",87,1096,0.0711678832116788,0.25722244004292,0,0,0,0,1,1,3.33128669907089,9.10578176315564,0.00776968794651125
"Gym_C",88,1096,0.249087591240876,0.432682075688533,0,0.186788154897494,0,0,1,1,1.1587421257545,-0.657914476223153,0.0130696400655701
"Work_C",89,1096,0.380474452554745,0.48572513534847,0,0.350797266514806,0,0,1,1,0.491703980701577,-1.75983038330887,0.01467186427749
"Social_C",90,1096,0.0921532846715328,0.289374255225607,0,0,0,0,1,1,2.81624633190219,5.93666256158335,0.00874086904113772
